searge,name,side,desc
field_100013_f,isPotionDurationMax,0,
field_104024_v,openGLWarningLink,0,
field_104025_t,threadLock,0,
field_104057_T,isGamemodeForced,2,
field_110126_a,FOOTPRINT_TEXTURE,0,
field_110127_a,EXPLOSION_TEXTURE,0,
field_110150_bn,lastAttacker,2,
field_110151_bq,absorptionAmount,2,
field_110153_bc,lastDamage,2,
field_110154_aX,onGroundSpeedFactor,2,
field_110155_d,attributeMap,2,
field_110156_b,SPRINTING_SPEED_BOOST_ID,2,
field_110157_c,SPRINTING_SPEED_BOOST,2,
field_110158_av,swingProgressInt,2,
field_110168_bw,leashedToEntity,2,
field_110169_bv,isLeashed,2,
field_110170_bx,leashNBTTag,2,
field_110178_bs,aiBase,2,
field_110179_h,FLEEING_SPEED_MODIFIER_UUID,2,
field_110180_bt,isMovementAITaskSet,2,
field_110181_i,FLEEING_SPEED_MODIFIER,2,
field_110184_bp,MODIFIER_UUID,2,
field_110185_bq,MODIFIER,2,
field_110186_bp,SPAWN_REINFORCEMENTS_CHANCE,2,
field_110187_bq,BABY_SPEED_BOOST_ID,2,
field_110188_br,BABY_SPEED_BOOST,2,
field_110189_bq,ATTACK_SPEED_BOOST_MODIFIER_UUID,2,
field_110190_br,ATTACK_SPEED_BOOST_MODIFIER,2,
field_110192_bp,ATTACKING_SPEED_BOOST_ID,2,
field_110193_bq,ATTACKING_SPEED_BOOST,2,
field_110268_bz,HORSE_TEXTURES,2,
field_110269_bA,HORSE_TEXTURES_ABBR,2,
field_110271_bv,JUMP_STRENGTH,2,
field_110274_bs,temper,2,
field_110275_br,horseJumping,2,
field_110276_bu,IS_HORSE_BREEDING,2,
field_110277_bt,jumpPower,2,
field_110278_bp,tailCounter,2,
field_110279_bq,sprintCounter,2,
field_110280_bR,horseTexturesArray,2,
field_110281_bL,rearingAmount,2,
field_110282_bM,prevRearingAmount,2,
field_110283_bJ,headLean,2,
field_110284_bK,prevHeadLean,2,
field_110285_bP,gallopTime,2,
field_110286_bQ,texturePrefix,2,
field_110287_bN,mouthOpenness,2,
field_110288_bO,prevMouthOpenness,2,
field_110289_bD,eatingHaystackCounter,2,
field_110290_bE,openMouthCounter,2,
field_110291_bB,HORSE_MARKING_TEXTURES,2,
field_110292_bC,HORSE_MARKING_TEXTURES_ABBR,2,
field_110293_bH,hasReproduced,2,
field_110294_bI,allowStandSliding,2,
field_110295_bF,jumpRearingCounter,2,
field_110296_bG,horseChest,2,
field_110320_a,horseJumpPowerCounter,0,
field_110321_bQ,horseJumpPower,0,
field_110323_l,STAT_ICONS,0,
field_110324_m,ICONS,0,
field_110325_k,OPTIONS_BACKGROUND,0,
field_110328_d,PUMPKIN_BLUR_TEX_PATH,0,
field_110329_b,VIGNETTE_TEX_PATH,0,
field_110330_c,WIDGETS_TEX_PATH,0,
field_110351_G,backgroundTexture,0,
field_110352_y,MINECRAFT_TITLE_TEXTURES,0,
field_110353_x,SPLASH_TEXTS,0,
field_110444_H,LOCATION_MOJANG_PNG,0,
field_110445_I,MAC_DISPLAY_MODES,0,
field_110446_Y,fileAssets,0,
field_110447_Z,launchedVersion,0,
field_110448_aq,mcResourcePackRepository,0,
field_110449_ao,defaultResourcePacks,0,
field_110450_ap,mcDefaultResourcePack,0,
field_110451_am,mcResourceManager,0,
field_110452_an,metadataSerializer_,0,
field_110453_aa,proxy,0,
field_110456_c,serverProxy,2,
field_110463_b,packFormat,0,
field_110464_a,packDescription,0,
field_110465_b,charLefts,0,
field_110466_c,charSpacings,0,
field_110467_a,charWidths,0,
field_110475_d,frameTime,0,
field_110476_b,frameWidth,0,
field_110477_c,frameHeight,0,
field_110478_a,animationFrames,0,
field_110481_b,textureClamp,0,
field_110482_a,textureBlur,0,
field_110498_b,frameTime,0,
field_110499_a,frameIndex,0,
field_110500_b,clazz,0,
field_110502_a,section,0,
field_110506_b,gsonBuilder,0,
field_110507_c,gson,0,
field_110508_a,metadataSectionSerializerRegistry,0,
field_110520_f,locationTexturePackIcon,0,
field_110521_d,rePackMetadataSection,0,
field_110524_c,reResourcePack,0,
field_110529_f,mcmetaJsonChecked,0,
field_110530_g,mcmetaJson,0,
field_110531_d,mcmetaInputStream,0,
field_110532_e,srMetadataSerializer,0,
field_110533_b,srResourceLocation,0,
field_110534_c,resourceInputStream,0,
field_110535_a,mapMetadataSections,0,
field_110539_b,frmMetadataSerializer,0,
field_110540_a,resourcePacks,0,
field_110546_b,reloadListeners,0,
field_110547_c,rmMetadataSerializer,0,
field_110548_a,domainResourceManagers,0,
field_110553_a,glTextureId,0,
field_110559_g,textureUploaded,0,
field_110560_d,bufferedImage,0,
field_110561_e,imageThread,0,
field_110562_b,imageUrl,0,
field_110563_c,imageBuffer,0,
field_110566_b,dynamicTextureData,0,
field_110567_b,layeredTextureNames,0,
field_110568_b,textureLocation,0,
field_110574_e,mapRegisteredSprites,0,
field_110575_b,LOCATION_BLOCKS_TEXTURE,0,
field_110582_d,theResourceManager,0,
field_110583_b,listTickables,0,
field_110584_c,mapTextureCounters,0,
field_110585_a,mapTextureObjects,0,
field_110597_b,resourcePackFile,0,
field_110598_a,LOGGER,0,
field_110600_d,resourcePackZipFile,0,
field_110601_c,ENTRY_NAME_SPLITTER,0,
